분류1,분류2,분류3,분류4,분류5,프로세스 설명,대분류,신청 방법,매월 말 지출 승인 요청서 신청 방법 : 개인 법인카드를 한 번이라도 사용한 이력이 있으면 작성,예시
임직원,비용 지출,교육비,금액무관,개인 법인카드(우선순위),"금액과 무관하게 교육비는 지출품의서를 먼저 작성하여 승인을 얻은 후 개인 법인카드로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 개인 법인카드 결제
• 양식 : 라덱셀 양식 > 지출품의서 – 교육비
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 금액이 명시된 교육 견적서·계약서 첨부
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : 단기 워크숍, 온라인 강의
• <b>업무와 직접 관련성이 있는 교육은 적극 장려됩니다. 교육이 필요한 이유를 관련 업무와 연계하여 명확하게 작성해주시기 바랍니다.</b>
• <b>작성 TIP : 지출목적을 비용 절감, 수익 증대, 생산성 향상, 품질 향상, 고객 만족도 증가 등과 같은 성과측정 요소를 기준으로 작성하면 설득력이 높아집니다.</b>

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"워크숍, 온라인 강의"
임직원,비용 지출,교육비,금액무관,법인계좌이체(차선),"카드 결제가 불가한 교육비는 금액과 무관하게 지출품의서를 먼저 작성하여 CEO 승인을 얻은 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식 > 지출품의서 – 교육비
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 금액이 명시된 교육 견적서·계약서 첨부
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : 장기 연수 프로그램, 직무 온라인 강의 등
• <b>업무와 직접 관련성이 있는 교육은 적극 장려됩니다. 교육이 필요한 이유를 관련 업무와 연계하여 명확하게 작성해주시기 바랍니다.</b>
• <b>작성 TIP : 지출목적을 비용 절감, 수익 증대, 생산성 향상, 품질 향상, 고객 만족도 증가 등과 같은 성과측정 요소를 기준으로 작성하면 설득력이 높아집니다.</b>

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"장기 연수 프로그램, 카드 사용이 불가할 시"
임직원,비용 지출,업무툴·소프트웨어,금액무관,SW카드,"금액과 무관하게 신규 업무툴·소프트웨어를 도입할 때는 지출품의서를 먼저 작성하여 CEO 승인을 얻은 후 SW카드로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → SW카드 결제
   * SW카드(무기명)로 결제가 안 되는 경우, 개인 법인카드(기명)로 결제합니다.
• 양식 : 라덱셀 양식 > 지출품의서 – 소프트웨어
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 금액이 명시된 라이선스 계약서 첨부
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : SaaS 구독, 개발툴 라이선스 <br>
   &nbsp;&nbsp;&nbsp;✔️ 본 프로세스는 신규 업무툴 도입을 위한 프로세스입니다. <br>
   &nbsp;&nbsp;&nbsp;✔️ 기존에 회사 내부의 누군가가 업무툴로 사용하고 있지만 모두에게 라이센스가 부여되지 않은 SAAS를 신청할 때는 슬랙 <a href='https://rdxl.slack.com/archives/C06SE5PAYG4' target='_blank'>‘구매요청’</a>채널에서 'SAAS 사용 신청'워크플로를 사용해 신청하면 됩니다. <br>
",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"SaaS 구독료, 개발툴 라이선스"
임직원,비용 지출,"다과, 소액 사무용품",금액무관,다과카드,"다과(쿠팡·간식 서비스·카페), 10만원 이하의 소액 사무용품은 일반 구매 절차를 따라 팀장 구두 승인 하에 개인 법인카드로 구매해도 되고, 간편하게 별도의 승인 과정 없이 슬랙 채널로 요청하셔도 됩니다.  구체적인 가이드는 아래를 참고하세요.
• 진행 : 슬랙 <a href='https://rdxl.slack.com/archives/C06SE5PAYG4' target='_blank'>‘구매요청’</a> → 자금 담당자 일괄 결제
• 예시 : 콜라, 캡슐커피, 케이블 등",승인 불필요,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"콜라, 캡슐커피, 케이블"
임직원,비용 지출,현금 소액잡비,금액무관,법인계좌이체,"카드 결제가 불가한 잡비는 별도 승인 과정 없이, 자금 담당자에게 요청하여 법인계좌이체로 결제하면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : 승인 생략
• 증빙 : 3만원 이하 - 증빙 필요 없음 / 3만원 이상 - 현금영수증
• 예시 : 화물 용달비
• 비고 : 종이 영수증 (간이 영수증 포함)이 발생하는 경우 사무실 별로 비치된 영수증 함에 넣어주세요.

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",승인 불필요,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,화물 용달비
임직원,출장,출장,"육로, 1박 2일 이내의 출장",유류비·통행료: 자비로 지출 후 실비지급 / 그 외: 개인 법인카드,"육로, 1박 2일 이내의 출장은 별도의 출장 신청이 필요 없으며, 팀 리더 구두 승인 하에 진행하시면 됩니다. 출장 중 발생한 여비는 일반 구매 절차에 따르면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : 출장품의서 생략
• 여비 : 유류비, 통행료의 경우 자비로 지출한 후 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>월말 지출 승인 요청서로 청구</a>
• 증빙 : 유류비, 통행료 (네이버 캡처화면 첨부)
• 예시 : 당일 외근, 대전 1박 2일 출장
• 참고 : <a href='https://www.notion.so/radexelworks/690fde188d9546a59b56543447501b5b?source=copy_link' target='_blank'>출장규칙</a>

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",팀장 승인 사항,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"당일 외근, 대전 1박 2일 출장"
임직원,출장,출장,그 외의 출장,"개인 법인카드 우선 / 법인계좌이체가 차선 / 현금 결제가 최후의 수단
","육로 이동이 아니거나, 1박 2일을 초과하는 출장은 출장품의서를 먼저 작성하여야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/create/AT_BT' target='_blank'>위하고 근태관리 > 출장신청</a>
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 여비/증빙 : <a href='https://www.notion.so/radexelworks/690fde188d9546a59b56543447501b5b?source=copy_link' target='_blank'>출장규칙</a> 참고
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : 1주일간의 제주도 출장, 해외 출장

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> 

<br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",CEO 승인 사항,https://app.supademo.com/embed/cmc5m2xyu019cifob44909z0b?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"해외 출장, 장기 국내 출장"
임직원,휴가,휴가,,,"기간과 관계없이 휴가는 팀장 승인 사항이며, 위하고 근태관리 시스템에서 신청하면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/create/AT_VACATION' target='_blank'>위하고 근태관리 > 휴가 신청</a>
• 결재 라인 : 기안자 → 직속 리더 (전결 권한 위임자 : 부문리더, CEO)
• 예시 : 연차, 반차
• 참고 : <a href='https://www.notion.so/radexelworks/1f1136f585374dd8ba738f6a7e3860c9?source=copy_link' target='_blank'>취업규칙</a>
    
    ",팀장 승인 사항, https://app.supademo.com/embed/cm9164cwo1phweyp0roo785gu?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"연차, 반차"
임직원,인사변동(휴직 등),휴직/복직/사직,,,"기간과 관계없이 휴직/복직/사직은 신청서를 통해 CEO 승인을 얻은 후 진행 절차를 따라야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 양식 : 라덱셀 양식 > 휴직신청서/사직서 작성
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 휴직 사유서, 사직 사유서
• 예시 : 육아휴직, 퇴사
• 참고 : <a href='https://www.notion.so/radexelworks/1f1136f585374dd8ba738f6a7e3860c9?source=copy_link' target='_blank'>취업규칙</a>
    
    ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"육아휴직, 사직"
임직원,증명서 발급,증명서 발급,,,"재직·경력·소득 증명서는 ‘나하고’ 앱에서 신청하면 HR팀이 승인 후 발급합니다.
• 진행 : 나하고 앱 > 증명서 신청
• 예시 : 재직증명서, 경력증명서
• 비고 : 1시간 내 미발급 시 HR 담당자에게 슬랙 문의",승인 불필요,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"재직증명서, 경력증명서"
